,Mainline,Fork,Pr nr,Patch classification,Interesting
140,apache/kafka,linkedin/kafka,12893,SP,1
111,apache/kafka,linkedin/kafka,13041,MO,1
208,apache/kafka,linkedin/kafka,12592,MO,1
98,apache/kafka,linkedin/kafka,13132,MO,1
104,apache/kafka,linkedin/kafka,13089,MO,1
201,apache/kafka,linkedin/kafka,12639,MO,1
109,apache/kafka,linkedin/kafka,13050,MO,1
110,apache/kafka,linkedin/kafka,13044,MO,1
113,apache/kafka,linkedin/kafka,13032,MO,1
210,apache/kafka,linkedin/kafka,12585,MO,1
197,apache/kafka,linkedin/kafka,12660,MO,1
115,apache/kafka,linkedin/kafka,13025,MO,1
117,apache/kafka,linkedin/kafka,13023,MO,1
118,apache/kafka,linkedin/kafka,13022,MO,1
194,apache/kafka,linkedin/kafka,12681,MO,1
121,apache/kafka,linkedin/kafka,13014,MO,1
95,apache/kafka,linkedin/kafka,13141,MO,1
211,apache/kafka,linkedin/kafka,12584,MO,1
125,apache/kafka,linkedin/kafka,12984,MO,1
83,apache/kafka,linkedin/kafka,13207,MO,1
218,apache/kafka,linkedin/kafka,12533,MO,1
217,apache/kafka,linkedin/kafka,12535,MO,1
78,apache/kafka,linkedin/kafka,13233,MO,1
215,apache/kafka,linkedin/kafka,12539,MO,1
81,apache/kafka,linkedin/kafka,13219,MO,1
82,apache/kafka,linkedin/kafka,13212,MO,1
84,apache/kafka,linkedin/kafka,13206,MO,1
213,apache/kafka,linkedin/kafka,12578,MO,1
214,apache/kafka,linkedin/kafka,12568,MO,1
172,apache/kafka,linkedin/kafka,12749,MO,1
87,apache/kafka,linkedin/kafka,13182,SP,1
88,apache/kafka,linkedin/kafka,13178,MO,1
89,apache/kafka,linkedin/kafka,13175,MO,1
90,apache/kafka,linkedin/kafka,13168,MO,1
193,apache/kafka,linkedin/kafka,12683,MO,1
190,apache/kafka,linkedin/kafka,12693,MO,1
222,apache/kafka,linkedin/kafka,12519,MO,1
161,apache/kafka,linkedin/kafka,12789,MO,1
154,apache/kafka,linkedin/kafka,12829,MO,1
155,apache/kafka,linkedin/kafka,12822,MO,1
156,apache/kafka,linkedin/kafka,12813,MO,1
157,apache/kafka,linkedin/kafka,12808,MO,1
158,apache/kafka,linkedin/kafka,12802,SP,1
160,apache/kafka,linkedin/kafka,12794,ED,1
176,apache/kafka,linkedin/kafka,12735,MO,1
152,apache/kafka,linkedin/kafka,12840,MO,1
164,apache/kafka,linkedin/kafka,12774,MO,1
165,apache/kafka,linkedin/kafka,12772,MO,1
166,apache/kafka,linkedin/kafka,12771,MO,1
173,apache/kafka,linkedin/kafka,12745,ED,1
169,apache/kafka,linkedin/kafka,12753,MO,1
170,apache/kafka,linkedin/kafka,12752,MO,1
153,apache/kafka,linkedin/kafka,12836,MO,1
151,apache/kafka,linkedin/kafka,12841,MO,1
128,apache/kafka,linkedin/kafka,12959,MO,1
136,apache/kafka,linkedin/kafka,12915,MO,1
130,apache/kafka,linkedin/kafka,12939,MO,1
187,apache/kafka,linkedin/kafka,12704,SP,1
132,apache/kafka,linkedin/kafka,12935,MO,1
133,apache/kafka,linkedin/kafka,12931,MO,1
134,apache/kafka,linkedin/kafka,12921,MO,1
135,apache/kafka,linkedin/kafka,12920,MO,1
186,apache/kafka,linkedin/kafka,12709,ED,1
150,apache/kafka,linkedin/kafka,12842,MO,1
139,apache/kafka,linkedin/kafka,12908,MO,1
141,apache/kafka,linkedin/kafka,12887,ED,1
144,apache/kafka,linkedin/kafka,12875,MO,1
181,apache/kafka,linkedin/kafka,12720,MO,1
146,apache/kafka,linkedin/kafka,12861,MO,1
180,apache/kafka,linkedin/kafka,12721,MO,1
219,apache/kafka,linkedin/kafka,12532,MO,1
86,apache/kafka,linkedin/kafka,13183,SP,1
223,apache/kafka,linkedin/kafka,12518,MO,1
259,apache/kafka,linkedin/kafka,12335,MO,1
242,apache/kafka,linkedin/kafka,12412,MO,1
243,apache/kafka,linkedin/kafka,12408,MO,1
42,apache/kafka,linkedin/kafka,13512,MO,1
40,apache/kafka,linkedin/kafka,13523,ED,1
36,apache/kafka,linkedin/kafka,13548,MO,1
249,apache/kafka,linkedin/kafka,12398,MO,1
32,apache/kafka,linkedin/kafka,13607,MO,1
251,apache/kafka,linkedin/kafka,12374,ED,1
252,apache/kafka,linkedin/kafka,12373,MO,1
254,apache/kafka,linkedin/kafka,12365,ED,1
255,apache/kafka,linkedin/kafka,12363,MO,1
257,apache/kafka,linkedin/kafka,12359,ED,1
260,apache/kafka,linkedin/kafka,12329,MO,1
46,apache/kafka,linkedin/kafka,13477,MO,1
261,apache/kafka,linkedin/kafka,12325,MO,1
262,apache/kafka,linkedin/kafka,12323,MO,1
263,apache/kafka,linkedin/kafka,12322,MO,1
264,apache/kafka,linkedin/kafka,12320,MO,1
266,apache/kafka,linkedin/kafka,12295,MO,1
267,apache/kafka,linkedin/kafka,12289,MO,1
268,apache/kafka,linkedin/kafka,12288,MO,1
273,apache/kafka,linkedin/kafka,12259,SP,1
277,apache/kafka,linkedin/kafka,12250,MO,1
4,apache/kafka,linkedin/kafka,13758,MO,1
278,apache/kafka,linkedin/kafka,12244,MO,1
2,apache/kafka,linkedin/kafka,13767,MO,1
241,apache/kafka,linkedin/kafka,12415,MO,1
171,apache/kafka,linkedin/kafka,12751,MO,1
226,apache/kafka,linkedin/kafka,12478,MO,1
237,apache/kafka,linkedin/kafka,12421,ED,1
231,apache/kafka,linkedin/kafka,12447,MO,1
233,apache/kafka,linkedin/kafka,12434,MO,1
60,apache/kafka,linkedin/kafka,13386,MO,1
55,apache/kafka,linkedin/kafka,13424,MO,1
54,apache/kafka,linkedin/kafka,13427,MO,1
62,apache/kafka,linkedin/kafka,13372,MO,1
234,apache/kafka,linkedin/kafka,12432,MO,1
229,apache/kafka,linkedin/kafka,12454,MO,1
235,apache/kafka,linkedin/kafka,12428,MO,1
227,apache/kafka,linkedin/kafka,12468,MO,1
58,apache/kafka,linkedin/kafka,13401,ED,1
70,apache/kafka,linkedin/kafka,13325,MO,1
67,apache/kafka,linkedin/kafka,13348,MO,1
225,apache/kafka,linkedin/kafka,12486,MO,1
272,apache/kafka,linkedin/kafka,12262,CC,0
275,apache/kafka,linkedin/kafka,12252,CC,0
183,apache/kafka,linkedin/kafka,12717,CC,0
182,apache/kafka,linkedin/kafka,12718,NA,0
220,apache/kafka,linkedin/kafka,12526,CC,0
224,apache/kafka,linkedin/kafka,12507,CC,0
174,apache/kafka,linkedin/kafka,12743,NE,0
230,apache/kafka,linkedin/kafka,12452,CC,0
276,apache/kafka,linkedin/kafka,12251,CC,0
179,apache/kafka,linkedin/kafka,12730,NA,0
178,apache/kafka,linkedin/kafka,12731,CC,0
177,apache/kafka,linkedin/kafka,12732,CC,0
175,apache/kafka,linkedin/kafka,12738,CC,0
274,apache/kafka,linkedin/kafka,12253,NA,0
228,apache/kafka,linkedin/kafka,12455,CC,0
265,apache/kafka,linkedin/kafka,12317,CC,0
258,apache/kafka,linkedin/kafka,12341,NA,0
216,apache/kafka,linkedin/kafka,12538,CC,0
269,apache/kafka,linkedin/kafka,12280,CC,0
270,apache/kafka,linkedin/kafka,12268,CC,0
271,apache/kafka,linkedin/kafka,12265,CC,0
204,apache/kafka,linkedin/kafka,12613,CC,0
256,apache/kafka,linkedin/kafka,12362,CC,0
184,apache/kafka,linkedin/kafka,12713,CC,0
209,apache/kafka,linkedin/kafka,12586,CC,0
238,apache/kafka,linkedin/kafka,12420,NA,0
202,apache/kafka,linkedin/kafka,12634,CC,0
239,apache/kafka,linkedin/kafka,12417,NA,0
200,apache/kafka,linkedin/kafka,12645,CC,0
199,apache/kafka,linkedin/kafka,12648,NA,0
240,apache/kafka,linkedin/kafka,12416,NA,0
205,apache/kafka,linkedin/kafka,12606,NA,0
206,apache/kafka,linkedin/kafka,12601,CC,0
198,apache/kafka,linkedin/kafka,12651,NE,0
207,apache/kafka,linkedin/kafka,12596,CC,0
236,apache/kafka,linkedin/kafka,12426,CC,0
196,apache/kafka,linkedin/kafka,12665,CC,0
244,apache/kafka,linkedin/kafka,12407,CC,0
195,apache/kafka,linkedin/kafka,12669,CC,0
185,apache/kafka,linkedin/kafka,12710,NA,0
245,apache/kafka,linkedin/kafka,12406,NA,0
246,apache/kafka,linkedin/kafka,12405,CC,0
221,apache/kafka,linkedin/kafka,12523,CC,0
192,apache/kafka,linkedin/kafka,12687,NE,0
191,apache/kafka,linkedin/kafka,12690,CC,0
248,apache/kafka,linkedin/kafka,12403,CC,0
189,apache/kafka,linkedin/kafka,12695,NE,0
188,apache/kafka,linkedin/kafka,12700,CC,0
250,apache/kafka,linkedin/kafka,12376,CC,0
212,apache/kafka,linkedin/kafka,12579,CC,0
253,apache/kafka,linkedin/kafka,12371,NA,0
232,apache/kafka,linkedin/kafka,12440,CC,0
203,apache/kafka,linkedin/kafka,12623,CC,0
247,apache/kafka,linkedin/kafka,12404,NE,0
0,apache/kafka,linkedin/kafka,13784,NE,0
168,apache/kafka,linkedin/kafka,12765,NA,0
29,apache/kafka,linkedin/kafka,13620,NE,0
31,apache/kafka,linkedin/kafka,13612,NA,0
33,apache/kafka,linkedin/kafka,13593,NE,0
34,apache/kafka,linkedin/kafka,13588,NE,0
35,apache/kafka,linkedin/kafka,13576,NA,0
37,apache/kafka,linkedin/kafka,13543,NA,0
38,apache/kafka,linkedin/kafka,13539,NA,0
39,apache/kafka,linkedin/kafka,13534,NA,0
41,apache/kafka,linkedin/kafka,13519,NE,0
43,apache/kafka,linkedin/kafka,13506,NE,0
44,apache/kafka,linkedin/kafka,13486,CC,0
45,apache/kafka,linkedin/kafka,13480,CC,0
47,apache/kafka,linkedin/kafka,13469,CC,0
48,apache/kafka,linkedin/kafka,13466,NA,0
49,apache/kafka,linkedin/kafka,13462,CC,0
50,apache/kafka,linkedin/kafka,13452,NE,0
51,apache/kafka,linkedin/kafka,13450,CC,0
52,apache/kafka,linkedin/kafka,13445,NA,0
53,apache/kafka,linkedin/kafka,13441,NA,0
56,apache/kafka,linkedin/kafka,13413,CC,0
57,apache/kafka,linkedin/kafka,13403,CC,0
59,apache/kafka,linkedin/kafka,13392,NA,0
61,apache/kafka,linkedin/kafka,13381,CC,0
